,GWA Title,m1_pred,m2_pred,m3_pred,m4_pred
20197,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
20198,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20199,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20200,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects
20201,"Identifying Objects, Actions, and Events",Handling and Moving Objects,Handling and Moving Objects,Getting Information,Handling and Moving Objects
20202,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Getting Information,Handling and Moving Objects
20203,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20204,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20205,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20206,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20207,Handling and Moving Objects,Controlling Machines and Processes,"Guiding, Directing, and Motivating Subordinates",Performing General Physical Activities,Training and Teaching Others
20208,Handling and Moving Objects,Controlling Machines and Processes,"Guiding, Directing, and Motivating Subordinates",Performing General Physical Activities,Training and Teaching Others
20209,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20210,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20211,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
20212,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20213,Getting Information,Getting Information,Analyzing Data or Information,Getting Information,Getting Information
20214,Getting Information,Getting Information,Analyzing Data or Information,Getting Information,Getting Information
20215,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20216,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
20217,Documenting/Recording Information,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
20218,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
20219,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
20220,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
20221,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
20222,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20223,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20224,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20225,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities
20226,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Assisting and Caring for Others
20227,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities
20228,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities
20229,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities
20230,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20231,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20232,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
20233,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
20234,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
20235,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
20236,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
20237,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
20238,Making Decisions and Solving Problems,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects
20239,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects
20240,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20241,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
20242,Making Decisions and Solving Problems,Handling and Moving Objects,Making Decisions and Solving Problems,Handling and Moving Objects,Monitoring and Controlling Resources
20243,Handling and Moving Objects,Handling and Moving Objects,Making Decisions and Solving Problems,Handling and Moving Objects,Monitoring and Controlling Resources
20244,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20245,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20246,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
20247,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
20248,Getting Information,Analyzing Data or Information,Analyzing Data or Information,Getting Information,Getting Information
20249,Getting Information,Analyzing Data or Information,Analyzing Data or Information,Getting Information,Getting Information
20250,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
20251,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
20252,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20253,Making Decisions and Solving Problems,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20254,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20255,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20256,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20257,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
20258,"Communicating with Supervisors, Peers, or Subordinates",Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
20259,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
20260,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
20261,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
20262,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Controlling Machines and Processes,Repairing and Maintaining Mechanical Equipment
20263,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Controlling Machines and Processes,Repairing and Maintaining Mechanical Equipment
20264,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Controlling Machines and Processes,Repairing and Maintaining Mechanical Equipment
20265,Making Decisions and Solving Problems,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20266,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20267,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20268,Controlling Machines and Processes,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20269,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others
20270,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
20271,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20272,Handling and Moving Objects,Thinking Creatively,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes
20273,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20274,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20275,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Analyzing Data or Information,Getting Information,Analyzing Data or Information,Processing Information
20276,Handling and Moving Objects,Thinking Creatively,Thinking Creatively,Thinking Creatively,"Judging the Qualities of Objects, Services, or People"
20277,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Thinking Creatively,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Making Decisions and Solving Problems,Getting Information
20278,Working with Computers,Working with Computers,Working with Computers,Thinking Creatively,Thinking Creatively
20279,Working with Computers,Working with Computers,Working with Computers,Thinking Creatively,Thinking Creatively
20280,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20281,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20282,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20283,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
20284,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials",Analyzing Data or Information
20285,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively
20286,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes
20287,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes
20288,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20289,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20290,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
20291,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
20292,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
20293,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20294,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20295,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20296,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20297,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20298,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Monitoring and Controlling Resources,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20299,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20300,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20301,Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively
20302,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems
20303,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
20304,Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively
20305,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20306,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20307,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20308,Performing General Physical Activities,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
20309,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
20310,Handling and Moving Objects,Selling or Influencing Others,Performing General Physical Activities,Performing General Physical Activities,"Guiding, Directing, and Motivating Subordinates"
20311,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20312,Making Decisions and Solving Problems,Handling and Moving Objects,Handling and Moving Objects,Making Decisions and Solving Problems,Making Decisions and Solving Problems
20313,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Making Decisions and Solving Problems,Making Decisions and Solving Problems
20314,Handling and Moving Objects,"Guiding, Directing, and Motivating Subordinates",Performing General Physical Activities,Assisting and Caring for Others,Performing General Physical Activities
20315,Handling and Moving Objects,"Guiding, Directing, and Motivating Subordinates",Performing General Physical Activities,Assisting and Caring for Others,Performing General Physical Activities
20316,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Assisting and Caring for Others
20317,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems
20318,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems
20319,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
20320,"Identifying Objects, Actions, and Events",Documenting/Recording Information,Selling or Influencing Others,Performing Administrative Activities,Documenting/Recording Information
20321,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
20322,Controlling Machines and Processes,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
20323,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20324,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20325,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20326,Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively
20327,Handling and Moving Objects,"Guiding, Directing, and Motivating Subordinates",Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities
20328,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects
20329,"Monitoring Processes, Materials, or Surroundings",Interpreting the Meaning of Information for Others,Monitoring and Controlling Resources,Documenting/Recording Information,"Communicating with Supervisors, Peers, or Subordinates"
20330,"Communicating with Supervisors, Peers, or Subordinates",Interpreting the Meaning of Information for Others,Monitoring and Controlling Resources,Documenting/Recording Information,"Communicating with Supervisors, Peers, or Subordinates"
20331,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
20332,Controlling Machines and Processes,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
20333,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,"Communicating with Supervisors, Peers, or Subordinates",Performing Administrative Activities
20334,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,"Communicating with Supervisors, Peers, or Subordinates",Performing Administrative Activities
20335,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20336,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20337,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20338,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
20339,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
20340,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
20341,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials"
20342,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
20343,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20344,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20345,Handling and Moving Objects,Selling or Influencing Others,Selling or Influencing Others,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
20346,Handling and Moving Objects,Selling or Influencing Others,Selling or Influencing Others,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
20347,Performing General Physical Activities,Assisting and Caring for Others,Assisting and Caring for Others,Thinking Creatively,Assisting and Caring for Others
20348,Getting Information,Analyzing Data or Information,Analyzing Data or Information,Analyzing Data or Information,Analyzing Data or Information
20349,Working with Computers,Working with Computers,Working with Computers,Controlling Machines and Processes,Controlling Machines and Processes
20350,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20351,Performing General Physical Activities,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
20352,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
20353,"Guiding, Directing, and Motivating Subordinates",Training and Teaching Others,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others
20354,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Controlling Machines and Processes,Repairing and Maintaining Mechanical Equipment
20355,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
20356,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
20357,Handling and Moving Objects,Thinking Creatively,"Monitoring Processes, Materials, or Surroundings",Thinking Creatively,Thinking Creatively
20358,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
20359,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
20360,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20361,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20362,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20363,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20364,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20365,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20366,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20367,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
20368,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20369,Handling and Moving Objects,Making Decisions and Solving Problems,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20370,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Handling and Moving Objects,Making Decisions and Solving Problems,Making Decisions and Solving Problems
20371,Making Decisions and Solving Problems,Handling and Moving Objects,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
20372,Documenting/Recording Information,Handling and Moving Objects,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
20373,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20374,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20375,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20376,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
20377,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
20378,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
20379,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Making Decisions and Solving Problems
20380,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Making Decisions and Solving Problems
20381,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Assisting and Caring for Others,Assisting and Caring for Others
20382,Thinking Creatively,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Thinking Creatively
20383,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Thinking Creatively
20384,Performing General Physical Activities,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects
20385,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects
20386,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities
20387,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20388,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20389,Handling and Moving Objects,Thinking Creatively,Documenting/Recording Information,Thinking Creatively,Analyzing Data or Information
20390,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20391,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20392,Getting Information,Getting Information,Analyzing Data or Information,Getting Information,Getting Information
20393,Getting Information,Getting Information,Analyzing Data or Information,Getting Information,Getting Information
20394,Documenting/Recording Information,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
20395,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes
20396,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems
20397,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
20398,Handling and Moving Objects,Performing General Physical Activities,Performing Administrative Activities,Performing Administrative Activities,Handling and Moving Objects
20399,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others
20400,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20401,Making Decisions and Solving Problems,Analyzing Data or Information,"Monitoring Processes, Materials, or Surroundings",Making Decisions and Solving Problems,Making Decisions and Solving Problems
20402,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects
20403,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20404,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
20405,Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials",Controlling Machines and Processes,"Inspecting Equipment, Structures, or Materials"
20406,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20407,"Communicating with Supervisors, Peers, or Subordinates",Performing General Physical Activities,"Communicating with Supervisors, Peers, or Subordinates",Controlling Machines and Processes,Controlling Machines and Processes
20408,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
